Time (UTC),Flight Number,Call Sign,Aircraft Type,Communication Type,Communication Content,Altitude (ft),Speed (knots),Heading (degrees),"Position (Latitude°, Longitude°)",Weather Update,NOTAMs,Navigational Information,Flight Manual Reference,Summary
21:00:00,FDB177,FDB177,Boeing 777,Pilot Report,"Holding short of runway 12L, ready for departure.",35000,329,24,"25.3286° N, 55.5171° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
21:00:30,UAE104,UAE104,Boeing 737 MAX,Weather Update,Moderate turbulence reported at FL410.,41000,103,28,"24.4560° N, 54.6374° E",Moderate turbulence reported at FL410.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
21:01:00,UAE193,UAE193,Boeing 787,ATC Instruction,Climb and maintain 38000 feet.,38000,1,66,"24.4560° N, 54.6374° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
21:01:30,ABY169,ABY169,Boeing 777,Pilot Report,"Passing FL0, climbing to FL380.",0,23,100,"24.9180° N, 55.0728° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
21:02:00,ETD135,ETD135,Boeing 737 MAX,Pilot Report,Experiencing moderate turbulence at FL350.,35000,34,192,"25.3286° N, 55.5171° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
21:02:30,ABY190,ABY190,Airbus A380,Weather Update,Visibility reduced to 2 kilometers due to sandstorm at destination.,20000,65,180,"24.4560° N, 54.6374° E",Visibility reduced to 2 kilometers due to sandstorm at destination.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
21:03:00,ETD142,ETD142,Airbus A320,Pilot Report,Requesting vectors for weather avoidance.,38000,351,0,"24.9180° N, 55.0728° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
21:03:30,ABY137,ABY137,Boeing 777,ATC Instruction,Contact departure on 125.5.,30000,191,71,"26.0765° N, 56.2406° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
21:04:00,UAE168,UAE168,Boeing 737 MAX,Weather Update,Icing conditions reported between FL180 and FL220 over the Hajar Mountains.,30000,48,199,"25.2532° N, 55.3657° E",Icing conditions reported between FL180 and FL220 over the Hajar Mountains.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
21:04:30,UAE188,UAE188,Boeing 737 MAX,NOTAM Alert,GPS interference reported near waypoint ORSAR.,15000,439,85,"25.3286° N, 55.5171° E",,GPS interference reported near waypoint ORSAR.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
21:05:00,FDB190,FDB190,Airbus A380,Pilot Report,"Passing FL200, climbing to FL380.",20000,204,232,"25.3286° N, 55.5171° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
21:05:30,ABY187,ABY187,Boeing 787,Pilot Report,"Runway vacated, taxiing to gate.",10000,82,134,"25.3286° N, 55.5171° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
21:06:00,FDB127,FDB127,Airbus A380,ATC Instruction,Cleared for takeoff runway 30R.,25000,155,89,"25.3286° N, 55.5171° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
21:06:30,UAE188,UAE188,Airbus A320,Weather Update,Thunderstorms reported along your route near waypoint PASOV.,30000,241,299,"26.0765° N, 56.2406° E",Thunderstorms reported along your route near waypoint PASOV.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
21:07:00,UAE112,UAE112,Boeing 787,Weather Update,Thunderstorms reported along your route near waypoint PASOV.,5000,40,40,"24.4560° N, 54.6374° E",Thunderstorms reported along your route near waypoint PASOV.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
21:07:30,UAE191,UAE191,Boeing 777,ATC Instruction,"Turn left heading 112, vectors for traffic.",20000,31,112,"26.0765° N, 56.2406° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
21:08:00,UAE145,UAE145,Boeing 777,Pilot Report,Requesting vectors for weather avoidance.,10000,332,191,"25.2532° N, 55.3657° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
21:08:30,ETD131,ETD131,Airbus A380,ATC Instruction,"Descend and maintain 5000 feet, expect ILS approach runway 09L.",5000,254,126,"24.4560° N, 54.6374° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
21:09:00,ABY127,ABY127,Airbus A380,NOTAM Alert,Navigation aid VOR DUB out of service.,30000,126,12,"26.0765° N, 56.2406° E",,Navigation aid VOR DUB out of service.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
21:09:30,UAE105,UAE105,Boeing 737 MAX,Pilot Acknowledgment,"Maintaining present speed, UAE105.",0,254,255,"26.0765° N, 56.2406° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
21:10:00,FDB185,FDB185,Boeing 777,ATC Instruction,Maintain present speed.,20000,469,47,"24.9180° N, 55.0728° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
21:10:30,ETD125,ETD125,Airbus A320,NOTAM Alert,Airspace restriction due to military activity in Al Dhafra region.,25000,78,169,"26.0765° N, 56.2406° E",,Airspace restriction due to military activity in Al Dhafra region.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
21:11:00,FDB114,FDB114,Boeing 777,Weather Update,Icing conditions reported between FL180 and FL220 over the Hajar Mountains.,38000,430,275,"25.3286° N, 55.5171° E",Icing conditions reported between FL180 and FL220 over the Hajar Mountains.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
21:11:30,ABY194,ABY194,Boeing 737 MAX,Pilot Report,Experiencing moderate turbulence at FL380.,38000,277,130,"25.2532° N, 55.3657° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
21:12:00,ABY165,ABY165,Boeing 737 MAX,ATC Instruction,Contact departure on 125.5.,35000,108,214,"24.4560° N, 54.6374° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
21:12:30,ABY118,ABY118,Airbus A320,Pilot Acknowledgment,"Cleared for takeoff runway 30R, ABY118.",0,168,298,"24.4560° N, 54.6374° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
21:13:00,ETD116,ETD116,Boeing 777,Pilot Report,"Passing FL380, climbing to FL380.",38000,181,269,"26.0765° N, 56.2406° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
21:13:30,ETD112,ETD112,Boeing 787,Pilot Acknowledgment,"Proceeding direct to DESDI, ETD112.",25000,365,287,"25.2532° N, 55.3657° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
21:14:00,FDB193,FDB193,Boeing 777,Pilot Report,"Cleared turbulence, resuming normal speed.",38000,434,283,"25.3286° N, 55.5171° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
21:14:30,FDB119,FDB119,Airbus A380,Weather Update,Visibility reduced to 2 kilometers due to sandstorm at destination.,38000,118,133,"25.2532° N, 55.3657° E",Visibility reduced to 2 kilometers due to sandstorm at destination.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
21:15:00,ABY134,ABY134,Airbus A380,Weather Update,Thunderstorms reported along your route near waypoint PASOV.,41000,481,272,"25.3286° N, 55.5171° E",Thunderstorms reported along your route near waypoint PASOV.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
21:15:30,ABY138,ABY138,Boeing 787,Weather Update,Icing conditions reported between FL180 and FL220 over the Hajar Mountains.,38000,65,86,"24.9180° N, 55.0728° E",Icing conditions reported between FL180 and FL220 over the Hajar Mountains.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
21:16:00,UAE109,UAE109,Airbus A320,Pilot Report,"Holding short of runway 12L, ready for departure.",30000,446,225,"26.0765° N, 56.2406° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
21:16:30,ABY107,ABY107,Boeing 787,NOTAM Alert,GPS interference reported near waypoint ORSAR.,41000,316,116,"25.3286° N, 55.5171° E",,GPS interference reported near waypoint ORSAR.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
21:17:00,ABY138,ABY138,Airbus A380,NOTAM Alert,Airspace restriction due to military activity in Al Dhafra region.,3000,179,308,"25.3286° N, 55.5171° E",,Airspace restriction due to military activity in Al Dhafra region.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
21:17:30,ETD162,ETD162,Boeing 737 MAX,NOTAM Alert,Runway 12R/30L closed from 2200Z to 0400Z.,38000,374,23,"25.3286° N, 55.5171° E",,Runway 12R/30L closed from 2200Z to 0400Z.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
21:18:00,ETD192,ETD192,Boeing 777,Pilot Acknowledgment,"Climb and maintain 41000 feet, ETD192.",41000,378,2,"24.4560° N, 54.6374° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
21:18:30,FDB161,FDB161,Boeing 787,Pilot Acknowledgment,"Holding at PASOV, FDB161.",35000,454,321,"25.3286° N, 55.5171° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
21:19:00,UAE111,UAE111,Boeing 777,Pilot Report,"Established on localizer, runway in sight.",38000,209,121,"25.3286° N, 55.5171° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
21:19:30,FDB105,FDB105,Airbus A380,ATC Instruction,Contact departure on 125.5.,25000,228,273,"25.2532° N, 55.3657° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
21:20:00,ABY132,ABY132,Boeing 777,ATC Instruction,"Turn left heading 53, vectors for traffic.",30000,220,53,"25.3286° N, 55.5171° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
21:20:30,ABY124,ABY124,Boeing 737 MAX,ATC Instruction,Expect holding at waypoint PASOV.,5000,128,216,"25.3286° N, 55.5171° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
21:21:00,UAE165,UAE165,Boeing 787,Pilot Report,"Runway vacated, taxiing to gate.",25000,401,69,"24.9180° N, 55.0728° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
21:21:30,ETD164,ETD164,Boeing 787,Weather Update,Visibility reduced to 2 kilometers due to sandstorm at destination.,41000,190,316,"24.9180° N, 55.0728° E",Visibility reduced to 2 kilometers due to sandstorm at destination.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
21:22:00,ABY151,ABY151,Airbus A320,Pilot Report,Engine 2 showing abnormal vibrations.,38000,254,274,"24.4560° N, 54.6374° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
21:22:30,ETD130,ETD130,Airbus A380,Weather Update,Icing conditions reported between FL180 and FL220 over the Hajar Mountains.,15000,42,71,"25.2532° N, 55.3657° E",Icing conditions reported between FL180 and FL220 over the Hajar Mountains.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
21:23:00,FDB129,FDB129,Boeing 787,Pilot Report,Requesting vectors for weather avoidance.,15000,289,66,"25.3286° N, 55.5171° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
21:23:30,FDB133,FDB133,Boeing 737 MAX,Pilot Report,"Holding short of runway 12L, ready for departure.",38000,176,2,"26.0765° N, 56.2406° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
21:24:00,ETD188,ETD188,Boeing 787,NOTAM Alert,Navigation aid VOR DUB out of service.,15000,116,84,"24.9180° N, 55.0728° E",,Navigation aid VOR DUB out of service.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
21:24:30,ABY113,ABY113,Airbus A320,Pilot Acknowledgment,"Proceeding direct to DESDI, ABY113.",0,162,273,"25.2532° N, 55.3657° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
21:25:00,UAE141,UAE141,Airbus A380,Pilot Acknowledgment,"Climb and maintain 35000 feet, UAE141.",35000,457,136,"26.0765° N, 56.2406° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
21:25:30,ABY199,ABY199,Boeing 777,ATC Instruction,Cleared for takeoff runway 30R.,20000,189,245,"24.4560° N, 54.6374° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
21:26:00,ABY124,ABY124,Airbus A380,Pilot Acknowledgment,"Left heading 268, ABY124.",0,27,268,"24.9180° N, 55.0728° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
21:26:30,ETD114,ETD114,Airbus A320,Pilot Acknowledgment,"Holding at PASOV, ETD114.",25000,367,289,"25.2532° N, 55.3657° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
21:27:00,FDB133,FDB133,Airbus A380,NOTAM Alert,Airspace restriction due to military activity in Al Dhafra region.,5000,173,15,"25.2532° N, 55.3657° E",,Airspace restriction due to military activity in Al Dhafra region.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
21:27:30,ABY101,ABY101,Airbus A320,NOTAM Alert,Airspace restriction due to military activity in Al Dhafra region.,35000,53,314,"26.0765° N, 56.2406° E",,Airspace restriction due to military activity in Al Dhafra region.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
21:28:00,ETD187,ETD187,Boeing 737 MAX,NOTAM Alert,Navigation aid VOR DUB out of service.,35000,354,144,"24.4560° N, 54.6374° E",,Navigation aid VOR DUB out of service.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
21:28:30,ETD123,ETD123,Boeing 787,NOTAM Alert,Navigation aid VOR DUB out of service.,0,467,118,"24.4560° N, 54.6374° E",,Navigation aid VOR DUB out of service.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
21:29:00,ETD126,ETD126,Boeing 737 MAX,ATC Instruction,Expect holding at waypoint PASOV.,41000,433,236,"25.2532° N, 55.3657° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
21:29:30,ETD182,ETD182,Boeing 737 MAX,Weather Update,Wind shear reported on final approach runway 30L.,38000,3,240,"24.4560° N, 54.6374° E",Wind shear reported on final approach runway 30L.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
21:30:00,FDB137,FDB137,Boeing 737 MAX,Pilot Report,"Established on localizer, runway in sight.",3000,181,351,"26.0765° N, 56.2406° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
21:30:30,ETD166,ETD166,Boeing 787,Pilot Acknowledgment,"Holding at PASOV, ETD166.",3000,89,26,"24.9180° N, 55.0728° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
21:31:00,FDB115,FDB115,Airbus A380,Pilot Acknowledgment,"Holding at PASOV, FDB115.",35000,107,76,"24.4560° N, 54.6374° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
21:31:30,FDB169,FDB169,Boeing 777,NOTAM Alert,GPS interference reported near waypoint ORSAR.,30000,406,102,"26.0765° N, 56.2406° E",,GPS interference reported near waypoint ORSAR.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
21:32:00,ETD123,ETD123,Airbus A380,ATC Instruction,Cleared for takeoff runway 30R.,15000,406,140,"25.2532° N, 55.3657° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
21:32:30,FDB162,FDB162,Boeing 737 MAX,Pilot Acknowledgment,"Descend to 38000 feet, expect ILS 09L, FDB162.",38000,393,102,"25.2532° N, 55.3657° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
21:33:00,FDB191,FDB191,Airbus A380,ATC Instruction,"Turn left heading 96, vectors for traffic.",3000,422,96,"25.3286° N, 55.5171° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
21:33:30,FDB168,FDB168,Boeing 737 MAX,Pilot Report,Experiencing moderate turbulence at FL410.,41000,364,168,"25.3286° N, 55.5171° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
21:34:00,FDB129,FDB129,Boeing 737 MAX,Pilot Report,"Cleared turbulence, resuming normal speed.",3000,349,82,"25.3286° N, 55.5171° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
21:34:30,FDB154,FDB154,Airbus A380,ATC Instruction,Expect holding at waypoint PASOV.,0,258,265,"25.2532° N, 55.3657° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
21:35:00,ETD114,ETD114,Boeing 737 MAX,ATC Instruction,Contact departure on 125.5.,0,29,52,"26.0765° N, 56.2406° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
21:35:30,UAE107,UAE107,Boeing 737 MAX,Pilot Report,Requesting vectors for weather avoidance.,10000,257,90,"24.4560° N, 54.6374° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
21:36:00,FDB151,FDB151,Airbus A320,NOTAM Alert,Navigation aid VOR DUB out of service.,41000,475,274,"25.3286° N, 55.5171° E",,Navigation aid VOR DUB out of service.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
21:36:30,ETD149,ETD149,Airbus A380,ATC Instruction,Expect holding at waypoint PASOV.,30000,493,309,"24.4560° N, 54.6374° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
21:37:00,ETD107,ETD107,Airbus A380,Pilot Acknowledgment,"Proceeding direct to DESDI, ETD107.",25000,334,86,"25.3286° N, 55.5171° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
21:37:30,FDB107,FDB107,Airbus A320,Weather Update,Visibility reduced to 2 kilometers due to sandstorm at destination.,10000,130,304,"24.9180° N, 55.0728° E",Visibility reduced to 2 kilometers due to sandstorm at destination.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
21:38:00,UAE164,UAE164,Airbus A380,Pilot Report,"Established on localizer, runway in sight.",30000,93,358,"24.4560° N, 54.6374° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
21:38:30,UAE185,UAE185,Airbus A320,Pilot Report,Requesting vectors for weather avoidance.,15000,466,16,"26.0765° N, 56.2406° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
21:39:00,ABY171,ABY171,Boeing 737 MAX,Weather Update,Visibility reduced to 2 kilometers due to sandstorm at destination.,15000,69,18,"25.2532° N, 55.3657° E",Visibility reduced to 2 kilometers due to sandstorm at destination.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
21:39:30,FDB141,FDB141,Airbus A320,ATC Instruction,Cleared for takeoff runway 30R.,20000,363,129,"25.2532° N, 55.3657° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
21:40:00,ETD143,ETD143,Airbus A320,NOTAM Alert,Runway 12R/30L closed from 2200Z to 0400Z.,3000,473,313,"24.9180° N, 55.0728° E",,Runway 12R/30L closed from 2200Z to 0400Z.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
21:40:30,ABY177,ABY177,Boeing 777,Weather Update,Wind shear reported on final approach runway 30L.,20000,38,161,"24.9180° N, 55.0728° E",Wind shear reported on final approach runway 30L.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
21:41:00,ETD186,ETD186,Airbus A380,Pilot Acknowledgment,"Cleared for takeoff runway 30R, ETD186.",38000,67,327,"26.0765° N, 56.2406° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
21:41:30,ABY193,ABY193,Boeing 737 MAX,NOTAM Alert,Temporary flight restriction active over area OM999.,38000,356,16,"25.3286° N, 55.5171° E",,Temporary flight restriction active over area OM999.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
21:42:00,ABY132,ABY132,Airbus A320,Weather Update,Icing conditions reported between FL180 and FL220 over the Hajar Mountains.,3000,77,113,"24.4560° N, 54.6374° E",Icing conditions reported between FL180 and FL220 over the Hajar Mountains.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
21:42:30,UAE150,UAE150,Airbus A380,Weather Update,Moderate turbulence reported at FL200.,20000,218,132,"24.9180° N, 55.0728° E",Moderate turbulence reported at FL200.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
21:43:00,ABY138,ABY138,Boeing 737 MAX,Pilot Acknowledgment,"Holding at PASOV, ABY138.",25000,217,258,"24.9180° N, 55.0728° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
21:43:30,FDB105,FDB105,Boeing 737 MAX,Weather Update,Moderate turbulence reported at FL300.,30000,369,181,"24.4560° N, 54.6374° E",Moderate turbulence reported at FL300.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
21:44:00,UAE191,UAE191,Airbus A380,NOTAM Alert,GPS interference reported near waypoint ORSAR.,5000,455,147,"24.4560° N, 54.6374° E",,GPS interference reported near waypoint ORSAR.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
21:44:30,ETD164,ETD164,Airbus A380,Weather Update,Visibility reduced to 2 kilometers due to sandstorm at destination.,35000,158,154,"25.3286° N, 55.5171° E",Visibility reduced to 2 kilometers due to sandstorm at destination.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
21:45:00,UAE120,UAE120,Boeing 777,Weather Update,Visibility reduced to 2 kilometers due to sandstorm at destination.,3000,247,153,"24.9180° N, 55.0728° E",Visibility reduced to 2 kilometers due to sandstorm at destination.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
21:45:30,ABY159,ABY159,Airbus A380,Pilot Acknowledgment,"Switching to 125.5, ABY159.",0,312,307,"25.2532° N, 55.3657° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
21:46:00,ETD190,ETD190,Airbus A320,Weather Update,Visibility reduced to 2 kilometers due to sandstorm at destination.,35000,296,69,"24.4560° N, 54.6374° E",Visibility reduced to 2 kilometers due to sandstorm at destination.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
21:46:30,FDB170,FDB170,Airbus A320,Weather Update,Icing conditions reported between FL180 and FL220 over the Hajar Mountains.,41000,77,120,"26.0765° N, 56.2406° E",Icing conditions reported between FL180 and FL220 over the Hajar Mountains.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
21:47:00,FDB110,FDB110,Airbus A380,NOTAM Alert,Temporary flight restriction active over area OM999.,35000,240,207,"26.0765° N, 56.2406° E",,Temporary flight restriction active over area OM999.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
21:47:30,FDB196,FDB196,Boeing 777,ATC Instruction,Maintain present speed.,30000,371,217,"24.9180° N, 55.0728° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
21:48:00,ABY174,ABY174,Airbus A320,Pilot Acknowledgment,"Cleared for takeoff runway 30R, ABY174.",35000,489,216,"24.9180° N, 55.0728° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
21:48:30,ETD165,ETD165,Boeing 787,ATC Instruction,Climb and maintain 10000 feet.,10000,76,186,"25.3286° N, 55.5171° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
21:49:00,ABY138,ABY138,Boeing 737 MAX,Weather Update,Wind shear reported on final approach runway 30L.,30000,19,355,"25.3286° N, 55.5171° E",Wind shear reported on final approach runway 30L.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
21:49:30,UAE164,UAE164,Airbus A380,ATC Instruction,Proceed direct to waypoint DESDI.,20000,169,349,"25.3286° N, 55.5171° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
21:50:00,ETD187,ETD187,Boeing 737 MAX,NOTAM Alert,Navigation aid VOR DUB out of service.,30000,427,52,"26.0765° N, 56.2406° E",,Navigation aid VOR DUB out of service.,"Waypoints: KUSBA, PASOV, DESDI",,NOTAM affecting flight operations
21:50:30,UAE151,UAE151,Airbus A320,Pilot Acknowledgment,"Cleared for takeoff runway 30R, UAE151.",25000,473,150,"24.9180° N, 55.0728° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
21:51:00,ETD186,ETD186,Boeing 787,ATC Instruction,Climb and maintain 20000 feet.,20000,191,251,"24.4560° N, 54.6374° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
21:51:30,ABY160,ABY160,Airbus A380,Weather Update,Moderate turbulence reported at FL30.,3000,94,212,"24.9180° N, 55.0728° E",Moderate turbulence reported at FL30.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
21:52:00,ETD115,ETD115,Boeing 737 MAX,Pilot Acknowledgment,"Descend to 10000 feet, expect ILS 09L, ETD115.",10000,133,313,"24.4560° N, 54.6374° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
21:52:30,ABY129,ABY129,Boeing 787,Pilot Acknowledgment,"Descend to 10000 feet, expect ILS 09L, ABY129.",10000,120,52,"25.2532° N, 55.3657° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot acknowledges instruction
21:53:00,ABY161,ABY161,Boeing 787,ATC Instruction,Maintain present speed.,30000,131,347,"26.0765° N, 56.2406° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
21:53:30,ABY181,ABY181,Airbus A380,ATC Instruction,Contact departure on 125.5.,0,388,23,"26.0765° N, 56.2406° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
21:54:00,ETD111,ETD111,Boeing 787,ATC Instruction,Maintain present speed.,41000,320,244,"25.2532° N, 55.3657° E",,,"Waypoints: KUSBA, PASOV, DESDI",,ATC provides instruction to aircraft
21:54:30,ABY176,ABY176,Boeing 787,Pilot Report,"Cleared turbulence, resuming normal speed.",41000,109,355,"24.4560° N, 54.6374° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
21:55:00,FDB166,FDB166,Boeing 787,Weather Update,Thunderstorms reported along your route near waypoint PASOV.,41000,294,318,"26.0765° N, 56.2406° E",Thunderstorms reported along your route near waypoint PASOV.,,"Waypoints: KUSBA, PASOV, DESDI",Refer to AOM Section 5,Weather update relevant to flight operations
21:55:30,UAE189,UAE189,Boeing 787,Pilot Report,"Passing FL410, climbing to FL380.",41000,241,14,"24.4560° N, 54.6374° E",,,"Waypoints: KUSBA, PASOV, DESDI",,Pilot reports flight status
