Time,Call Sign,Communication Type,Message Content,Altitude (ft),Speed (knots),Heading (degrees),Position
10:10:30,UAE201,Pilot Acknowledgment,"Descending to 25000 feet, UAE201.",25000,423,170,"('28.7041° N', '77.1025° E')"
10:11:00,UAE201,Pilot Acknowledgment,"Holding short of runway 12R, UAE201.",25000,463,5,"('34.0837° N', '74.7973° E')"
10:11:30,UAE201,Pilot Acknowledgment,"Proceeding direct to ALPHA, UAE201.",35000,487,47,"('28.7041° N', '77.1025° E')"
10:12:00,UAE201,Pilot Report,"Runway vacated, taxiing to gate.",30000,419,150,"('25.2532° N', '55.3657° E')"
10:12:30,UAE201,Pilot Report,Experiencing moderate turbulence at FL350.,35000,450,189,"('34.0837° N', '74.7973° E')"
10:13:00,UAE201,Pilot Report,Requesting vectors for weather avoidance.,25000,416,76,"('25.2532° N', '55.3657° E')"
10:13:30,UAE201,ATC Instruction,Taxi to gate via taxiway Bravo.,5000,410,154,"('34.0837° N', '74.7973° E')"
10:14:00,UAE201,Pilot Report,Engine 2 showing abnormal vibrations.,5000,430,12,"('25.2532° N', '55.3657° E')"
10:14:30,UAE201,ATC Instruction,Climb to FL300 and maintain.,30000,488,308,"('40.6413° N', '-73.7781° W')"
10:15:00,UAE201,ATC Instruction,Maintain present speed.,35000,481,299,"('26.0765° N', '56.2406° E')"
10:15:30,UAE201,ATC Instruction,Cleared for takeoff runway 09L.,10000,446,32,"('40.6413° N', '-73.7781° W')"
10:16:00,UAE201,ATC Instruction,Proceed direct to waypoint ALPHA.,5000,478,16,"('26.0765° N', '56.2406° E')"
10:16:30,UAE201,Pilot Report,"Runway vacated, taxiing to gate.",10000,474,324,"('34.0837° N', '74.7973° E')"
10:17:00,UAE201,ATC Instruction,Descend to 25000 feet and prepare for approach.,25000,463,156,"('34.0837° N', '74.7973° E')"
10:17:30,UAE201,Pilot Acknowledgment,"Climb and maintain 15000 feet, UAE201.",15000,494,250,"('25.2532° N', '55.3657° E')"
10:18:00,UAE201,Pilot Report,Engine 2 showing abnormal vibrations.,10000,400,273,"('28.7041° N', '77.1025° E')"
10:18:30,UAE201,Pilot Report,"Runway vacated, taxiing to gate.",5000,421,30,"('26.0765° N', '56.2406° E')"
10:19:00,UAE201,Pilot Report,"Passing FL350, climbing to FL350.",35000,441,259,"('34.0837° N', '74.7973° E')"
10:19:30,UAE201,Pilot Report,"Holding short of runway 22R, ready for departure.",20000,429,323,"('40.6413° N', '-73.7781° W')"
10:20:00,UAE201,ATC Instruction,Proceed direct to waypoint ALPHA.,20000,454,118,"('25.2532° N', '55.3657° E')"
10:20:30,UAE201,Pilot Acknowledgment,"Taxiing to gate via taxiway Bravo, UAE201.",35000,444,268,"('28.7041° N', '77.1025° E')"
10:21:00,UAE201,Pilot Report,Engine 2 showing abnormal vibrations.,10000,426,251,"('34.0837° N', '74.7973° E')"
10:21:30,UAE201,ATC Instruction,Taxi to gate via taxiway Bravo.,10000,449,260,"('25.2532° N', '55.3657° E')"
10:22:00,UAE201,Pilot Acknowledgment,"Proceeding direct to ALPHA, UAE201.",25000,472,155,"('28.7041° N', '77.1025° E')"
10:22:30,UAE201,ATC Instruction,Cleared for takeoff runway 09L.,25000,409,241,"('28.7041° N', '77.1025° E')"
10:23:00,UAE201,ATC Instruction,Taxi to gate via taxiway Bravo.,35000,495,105,"('40.6413° N', '-73.7781° W')"
10:23:30,UAE201,ATC Instruction,Contact center on 126.1 for further instructions.,35000,410,202,"('25.2532° N', '55.3657° E')"
10:24:00,UAE201,Pilot Acknowledgment,"Climbing to FL150, UAE201.",15000,477,30,"('40.6413° N', '-73.7781° W')"
10:24:30,UAE201,Pilot Acknowledgment,"Taxiing to gate via taxiway Bravo, UAE201.",35000,412,247,"('40.6413° N', '-73.7781° W')"
10:25:00,UAE201,Pilot Acknowledgment,"Reducing speed to 250 knots, UAE201.",35000,451,210,"('34.0837° N', '74.7973° E')"
10:25:30,UAE201,Pilot Acknowledgment,"Switching to 124.7, UAE201.",10000,403,278,"('26.0765° N', '56.2406° E')"
10:26:00,UAE201,Pilot Acknowledgment,"Taxiing to gate via taxiway Bravo, UAE201.",15000,485,218,"('28.7041° N', '77.1025° E')"
10:26:30,UAE201,Pilot Report,"Runway vacated, taxiing to gate.",15000,455,94,"('26.0765° N', '56.2406° E')"
10:27:00,UAE201,ATC Instruction,Climb and maintain 35000 feet.,35000,463,65,"('25.2532° N', '55.3657° E')"
10:27:30,UAE201,Pilot Acknowledgment,"Reducing speed to 250 knots, UAE201.",30000,470,148,"('34.0837° N', '74.7973° E')"
10:28:00,UAE201,Pilot Report,"Cleared turbulence, resuming normal speed.",15000,461,317,"('40.6413° N', '-73.7781° W')"
10:28:30,UAE201,Pilot Acknowledgment,"Holding short of runway 12R, UAE201.",10000,441,247,"('34.0837° N', '74.7973° E')"
10:29:00,UAE201,Pilot Report,"Runway vacated, taxiing to gate.",20000,451,53,"('25.2532° N', '55.3657° E')"
10:29:30,UAE201,Pilot Report,"Holding short of runway 22R, ready for departure.",30000,467,278,"('28.7041° N', '77.1025° E')"
10:30:00,UAE201,Pilot Report,Requesting vectors for weather avoidance.,20000,484,344,"('40.6413° N', '-73.7781° W')"
10:30:30,UAE201,Pilot Acknowledgment,"Climbing to FL200, UAE201.",20000,443,199,"('25.2532° N', '55.3657° E')"
10:31:00,UAE201,Pilot Acknowledgment,"Descending to 20000 feet, expect ILS runway 27, UAE201.",20000,485,262,"('34.0837° N', '74.7973° E')"
10:31:30,UAE201,ATC Instruction,Cross runway 09L and continue taxi to terminal.,5000,488,18,"('40.6413° N', '-73.7781° W')"
10:32:00,UAE201,Pilot Acknowledgment,"Turning left heading 179, UAE201.",15000,412,179,"('28.7041° N', '77.1025° E')"
10:32:30,UAE201,Pilot Report,"Passing FL200, climbing to FL350.",20000,408,354,"('26.0765° N', '56.2406° E')"
10:33:00,UAE201,Pilot Report,Requesting vectors for weather avoidance.,5000,412,149,"('25.2532° N', '55.3657° E')"
10:33:30,UAE201,ATC Instruction,Climb and maintain 10000 feet.,10000,499,70,"('34.0837° N', '74.7973° E')"
10:34:00,UAE201,ATC Instruction,Maintain present speed.,5000,498,171,"('25.2532° N', '55.3657° E')"
10:34:30,UAE201,Pilot Acknowledgment,"Reducing speed to 250 knots, UAE201.",35000,418,83,"('28.7041° N', '77.1025° E')"
10:35:00,UAE201,ATC Instruction,Hold short of runway 12R.,30000,488,246,"('40.6413° N', '-73.7781° W')"
10:35:30,UAE201,Pilot Acknowledgment,"Turning left heading 289, UAE201.",25000,442,289,"('34.0837° N', '74.7973° E')"
10:36:00,UAE201,Pilot Acknowledgment,"Switching to ground control on 121.9, UAE201.",10000,493,193,"('40.6413° N', '-73.7781° W')"
10:36:30,UAE201,Pilot Report,"Established on localizer, runway in sight.",5000,492,342,"('28.7041° N', '77.1025° E')"
10:37:00,UAE201,Pilot Report,"Holding short of runway 22R, ready for departure.",20000,493,62,"('26.0765° N', '56.2406° E')"
10:37:30,UAE201,Pilot Report,"Established on localizer, runway in sight.",25000,431,12,"('26.0765° N', '56.2406° E')"
10:38:00,UAE201,ATC Instruction,Proceed to final approach and maintain 5000 feet.,5000,423,116,"('40.6413° N', '-73.7781° W')"
10:38:30,UAE201,Pilot Acknowledgment,"Reducing speed to 250 knots, UAE201.",25000,477,200,"('25.2532° N', '55.3657° E')"
10:39:00,UAE201,Pilot Acknowledgment,"Climbing to FL250, UAE201.",25000,468,112,"('28.7041° N', '77.1025° E')"
10:39:30,UAE201,Pilot Report,Requesting vectors for weather avoidance.,30000,494,34,"('25.2532° N', '55.3657° E')"
10:40:00,UAE201,Pilot Report,"Holding short of runway 22R, ready for departure.",5000,465,276,"('25.2532° N', '55.3657° E')"
10:40:30,UAE201,Pilot Report,Engine 2 showing abnormal vibrations.,35000,446,280,"('40.6413° N', '-73.7781° W')"
10:41:00,UAE201,Pilot Acknowledgment,"Taxiing to gate via taxiway Bravo, UAE201.",10000,431,42,"('28.7041° N', '77.1025° E')"
10:41:30,UAE201,ATC Instruction,Reduce speed to 250 knots.,25000,497,354,"('28.7041° N', '77.1025° E')"
10:42:00,UAE201,Pilot Report,"Cleared turbulence, resuming normal speed.",10000,419,120,"('26.0765° N', '56.2406° E')"
10:42:30,UAE201,Pilot Acknowledgment,"Switching to ground control on 121.9, UAE201.",15000,476,205,"('26.0765° N', '56.2406° E')"
10:43:00,UAE201,ATC Instruction,Reduce speed to 250 knots.,30000,417,247,"('26.0765° N', '56.2406° E')"
10:43:30,UAE201,Pilot Report,Requesting vectors for weather avoidance.,15000,434,252,"('40.6413° N', '-73.7781° W')"
10:44:00,UAE201,Pilot Report,"Established on localizer, runway in sight.",25000,432,218,"('25.2532° N', '55.3657° E')"
10:44:30,UAE201,Pilot Report,"Cleared turbulence, resuming normal speed.",5000,492,233,"('25.2532° N', '55.3657° E')"
10:45:00,UAE201,Pilot Report,"Passing FL200, climbing to FL350.",20000,450,101,"('25.2532° N', '55.3657° E')"
10:45:30,UAE201,ATC Instruction,Cleared for takeoff runway 09L.,35000,418,344,"('28.7041° N', '77.1025° E')"
10:46:00,UAE201,Pilot Acknowledgment,"Switching to ground control on 121.9, UAE201.",10000,415,217,"('28.7041° N', '77.1025° E')"
10:46:30,UAE201,Pilot Report,"Passing FL350, climbing to FL350.",35000,481,262,"('26.0765° N', '56.2406° E')"
10:47:00,UAE201,ATC Instruction,Proceed to final approach and maintain 20000 feet.,20000,432,20,"('28.7041° N', '77.1025° E')"
10:47:30,UAE201,Pilot Acknowledgment,"Proceeding to final approach, maintaining 5000 feet, UAE201.",5000,440,328,"('34.0837° N', '74.7973° E')"
10:48:00,UAE201,ATC Instruction,Contact departure on 124.7.,15000,419,155,"('40.6413° N', '-73.7781° W')"
10:48:30,UAE201,Pilot Report,Engine 2 showing abnormal vibrations.,5000,461,239,"('28.7041° N', '77.1025° E')"
10:49:00,UAE201,Pilot Acknowledgment,"Descending to 20000 feet, UAE201.",20000,430,185,"('40.6413° N', '-73.7781° W')"
10:49:30,UAE201,ATC Instruction,"Turn left heading 101, vectors for traffic.",5000,410,101,"('40.6413° N', '-73.7781° W')"
10:50:00,UAE201,ATC Instruction,"Descend and maintain 15000 feet, expect ILS approach runway 27.",15000,479,262,"('34.0837° N', '74.7973° E')"
10:50:30,UAE201,ATC Instruction,Climb to FL50 and maintain.,5000,488,11,"('28.7041° N', '77.1025° E')"
10:51:00,UAE201,Pilot Acknowledgment,"Switching to 124.7, UAE201.",35000,483,353,"('26.0765° N', '56.2406° E')"
10:51:30,UAE201,ATC Instruction,Switch to ground control on 121.9.,35000,463,93,"('28.7041° N', '77.1025° E')"
10:52:00,UAE201,Pilot Report,Experiencing moderate turbulence at FL150.,15000,403,198,"('40.6413° N', '-73.7781° W')"
10:52:30,UAE201,Pilot Report,Engine 2 showing abnormal vibrations.,30000,457,167,"('28.7041° N', '77.1025° E')"
10:53:00,UAE201,Pilot Acknowledgment,"Reducing speed to 250 knots, UAE201.",30000,473,45,"('40.6413° N', '-73.7781° W')"
10:53:30,UAE201,Pilot Report,"Holding short of runway 22R, ready for departure.",5000,466,122,"('26.0765° N', '56.2406° E')"
10:54:00,UAE201,Pilot Report,Requesting vectors for weather avoidance.,5000,457,340,"('25.2532° N', '55.3657° E')"
10:54:30,UAE201,Pilot Acknowledgment,"Holding at BRAVO, UAE201.",15000,437,135,"('26.0765° N', '56.2406° E')"
10:55:00,UAE201,Pilot Acknowledgment,"Switching to ground control on 121.9, UAE201.",5000,420,214,"('28.7041° N', '77.1025° E')"
10:55:30,UAE201,Pilot Report,"Cleared turbulence, resuming normal speed.",5000,446,10,"('28.7041° N', '77.1025° E')"
10:56:00,UAE201,Pilot Report,"Cleared turbulence, resuming normal speed.",15000,500,349,"('40.6413° N', '-73.7781° W')"
10:56:30,UAE201,ATC Instruction,Expect vectors for ILS approach to runway 13R.,35000,458,299,"('34.0837° N', '74.7973° E')"
10:57:00,UAE201,Pilot Acknowledgment,"Climb and maintain 10000 feet, UAE201.",10000,440,276,"('28.7041° N', '77.1025° E')"
10:57:30,UAE201,Pilot Report,"Cleared turbulence, resuming normal speed.",20000,449,6,"('34.0837° N', '74.7973° E')"
10:58:00,UAE201,ATC Instruction,"Descend and maintain 20000 feet, expect ILS approach runway 27.",20000,456,45,"('26.0765° N', '56.2406° E')"
10:58:30,UAE201,Pilot Acknowledgment,"Switching to 124.7, UAE201.",5000,491,145,"('34.0837° N', '74.7973° E')"
10:59:00,UAE201,ATC Instruction,Contact departure on 124.7.,35000,425,12,"('28.7041° N', '77.1025° E')"
10:59:30,UAE201,Pilot Acknowledgment,"Proceeding direct to ALPHA, UAE201.",35000,457,322,"('26.0765° N', '56.2406° E')"
11:00:00,UAE201,Pilot Report,"Cleared turbulence, resuming normal speed.",30000,413,133,"('26.0765° N', '56.2406° E')"
11:00:30,UAE201,Pilot Report,Requesting vectors for weather avoidance.,5000,483,191,"('25.2532° N', '55.3657° E')"
11:01:00,UAE201,Pilot Report,Engine 2 showing abnormal vibrations.,10000,464,147,"('25.2532° N', '55.3657° E')"
11:01:30,UAE201,ATC Instruction,"Turn left heading 63, vectors for traffic.",20000,446,63,"('28.7041° N', '77.1025° E')"
11:02:00,UAE201,Pilot Acknowledgment,"Descending to 20000 feet, expect ILS runway 27, UAE201.",20000,459,62,"('40.6413° N', '-73.7781° W')"
11:02:30,UAE201,Pilot Acknowledgment,"Holding at BRAVO, UAE201.",15000,490,349,"('28.7041° N', '77.1025° E')"
11:03:00,UAE201,Pilot Report,"Established on localizer, runway in sight.",35000,436,271,"('26.0765° N', '56.2406° E')"
11:03:30,UAE201,Pilot Acknowledgment,"Proceeding to final approach, maintaining 25000 feet, UAE201.",25000,478,136,"('40.6413° N', '-73.7781° W')"
11:04:00,UAE201,ATC Instruction,Contact departure on 124.7.,10000,406,148,"('34.0837° N', '74.7973° E')"
11:04:30,UAE201,ATC Instruction,"Descend and maintain 10000 feet, expect ILS approach runway 27.",10000,479,225,"('26.0765° N', '56.2406° E')"
11:05:00,UAE201,Pilot Report,"Cleared turbulence, resuming normal speed.",10000,493,17,"('26.0765° N', '56.2406° E')"
11:05:30,UAE201,Pilot Report,Requesting vectors for weather avoidance.,10000,432,45,"('26.0765° N', '56.2406° E')"
11:06:00,UAE201,ATC Instruction,Request speed reduction due to traffic ahead.,5000,475,65,"('25.2532° N', '55.3657° E')"
11:06:30,UAE201,ATC Instruction,"Descend and maintain 30000 feet, expect ILS approach runway 27.",30000,441,270,"('25.2532° N', '55.3657° E')"
11:07:00,UAE201,ATC Instruction,Taxi to gate via taxiway Bravo.,20000,498,20,"('28.7041° N', '77.1025° E')"
11:07:30,UAE201,ATC Instruction,Expect holding at waypoint BRAVO.,15000,418,175,"('40.6413° N', '-73.7781° W')"
11:08:00,UAE201,Pilot Acknowledgment,"Switching to ground control on 121.9, UAE201.",10000,431,111,"('34.0837° N', '74.7973° E')"
11:08:30,UAE201,ATC Instruction,Proceed direct to waypoint ALPHA.,30000,469,168,"('34.0837° N', '74.7973° E')"
11:09:00,UAE201,Pilot Report,Requesting vectors for weather avoidance.,30000,497,316,"('28.7041° N', '77.1025° E')"
11:09:30,UAE201,Pilot Report,"Established on localizer, runway in sight.",15000,414,60,"('26.0765° N', '56.2406° E')"
11:10:00,UAE201,Pilot Acknowledgment,"Taxiing to gate via taxiway Bravo, UAE201.",35000,470,267,"('26.0765° N', '56.2406° E')"
11:10:30,UAE201,ATC Instruction,Proceed to final approach and maintain 15000 feet.,15000,400,292,"('34.0837° N', '74.7973° E')"
11:11:00,UAE201,Pilot Acknowledgment,"Climbing to FL50, UAE201.",5000,487,229,"('26.0765° N', '56.2406° E')"
11:11:30,UAE201,Pilot Acknowledgment,"Maintaining present speed, UAE201.",20000,403,280,"('40.6413° N', '-73.7781° W')"
11:12:00,UAE201,Pilot Acknowledgment,"Taxiing to gate via taxiway Bravo, UAE201.",25000,485,231,"('26.0765° N', '56.2406° E')"
11:12:30,UAE201,Pilot Report,"Cleared turbulence, resuming normal speed.",15000,477,191,"('26.0765° N', '56.2406° E')"
11:13:00,UAE201,ATC Instruction,Expect vectors for ILS approach to runway 13R.,15000,467,237,"('25.2532° N', '55.3657° E')"
11:13:30,UAE201,Pilot Report,Requesting vectors for weather avoidance.,15000,427,313,"('25.2532° N', '55.3657° E')"
11:14:00,UAE201,Pilot Acknowledgment,"Turning left heading 214, UAE201.",10000,467,214,"('25.2532° N', '55.3657° E')"
11:14:30,UAE201,ATC Instruction,Contact center on 126.1 for further instructions.,25000,418,322,"('26.0765° N', '56.2406° E')"
11:15:00,UAE201,Pilot Acknowledgment,"Descending to 35000 feet, UAE201.",35000,500,286,"('34.0837° N', '74.7973° E')"
11:15:30,UAE201,Pilot Acknowledgment,"Switching to 124.7, UAE201.",15000,434,314,"('28.7041° N', '77.1025° E')"
11:16:00,UAE201,Pilot Report,"Holding short of runway 22R, ready for departure.",30000,493,72,"('40.6413° N', '-73.7781° W')"
11:16:30,UAE201,Pilot Report,"Holding short of runway 22R, ready for departure.",25000,453,8,"('34.0837° N', '74.7973° E')"
11:17:00,UAE201,ATC Instruction,Cross runway 09L and continue taxi to terminal.,10000,460,174,"('28.7041° N', '77.1025° E')"
11:17:30,UAE201,Pilot Acknowledgment,"Climbing to FL150, UAE201.",15000,481,155,"('34.0837° N', '74.7973° E')"
11:18:00,UAE201,Pilot Report,Requesting vectors for weather avoidance.,10000,481,120,"('28.7041° N', '77.1025° E')"
11:18:30,UAE201,Pilot Acknowledgment,"Maintaining present speed, UAE201.",20000,493,151,"('25.2532° N', '55.3657° E')"
11:19:00,UAE201,Pilot Acknowledgment,"Climb and maintain 30000 feet, UAE201.",30000,454,104,"('25.2532° N', '55.3657° E')"
11:19:30,UAE201,Pilot Report,"Passing FL350, climbing to FL350.",35000,425,269,"('34.0837° N', '74.7973° E')"
11:20:00,UAE201,Pilot Report,Experiencing moderate turbulence at FL350.,35000,416,359,"('26.0765° N', '56.2406° E')"
11:20:30,UAE201,ATC Instruction,"Descend and maintain 5000 feet, expect ILS approach runway 27.",5000,419,281,"('34.0837° N', '74.7973° E')"
11:21:00,UAE201,Pilot Acknowledgment,"Reducing speed to 250 knots, UAE201.",30000,463,311,"('25.2532° N', '55.3657° E')"
11:21:30,UAE201,Pilot Acknowledgment,"Climb and maintain 25000 feet, UAE201.",25000,459,204,"('26.0765° N', '56.2406° E')"
11:22:00,UAE201,ATC Instruction,Request speed reduction due to traffic ahead.,25000,416,149,"('25.2532° N', '55.3657° E')"
11:22:30,UAE201,Pilot Acknowledgment,"Proceeding to final approach, maintaining 20000 feet, UAE201.",20000,406,82,"('28.7041° N', '77.1025° E')"
11:23:00,UAE201,Pilot Report,"Passing FL300, climbing to FL350.",30000,409,282,"('26.0765° N', '56.2406° E')"
11:23:30,UAE201,ATC Instruction,"Turn left heading 267, vectors for traffic.",15000,500,267,"('28.7041° N', '77.1025° E')"
11:24:00,UAE201,Pilot Acknowledgment,"Proceeding direct to ALPHA, UAE201.",15000,460,104,"('26.0765° N', '56.2406° E')"
11:24:30,UAE201,ATC Instruction,Contact center on 126.1 for further instructions.,25000,411,308,"('26.0765° N', '56.2406° E')"
11:25:00,UAE201,ATC Instruction,Cleared for takeoff runway 09L.,15000,487,304,"('25.2532° N', '55.3657° E')"
11:25:30,UAE201,ATC Instruction,Maintain present speed.,20000,469,286,"('25.2532° N', '55.3657° E')"
11:26:00,UAE201,Pilot Report,"Cleared turbulence, resuming normal speed.",30000,436,74,"('25.2532° N', '55.3657° E')"
11:26:30,UAE201,Pilot Report,"Passing FL100, climbing to FL350.",10000,447,291,"('25.2532° N', '55.3657° E')"
11:27:00,UAE201,Pilot Report,"Runway vacated, taxiing to gate.",25000,475,64,"('26.0765° N', '56.2406° E')"
11:27:30,UAE201,Pilot Acknowledgment,"Switching to ground control on 121.9, UAE201.",25000,463,280,"('25.2532° N', '55.3657° E')"
11:28:00,UAE201,ATC Instruction,Hold short of runway 12R.,30000,467,58,"('26.0765° N', '56.2406° E')"
11:28:30,UAE201,Pilot Report,"Passing FL250, climbing to FL350.",25000,452,201,"('34.0837° N', '74.7973° E')"
11:29:00,UAE201,Pilot Report,"Holding short of runway 22R, ready for departure.",30000,402,101,"('25.2532° N', '55.3657° E')"
11:29:30,UAE201,Pilot Report,"Runway vacated, taxiing to gate.",25000,465,65,"('28.7041° N', '77.1025° E')"
11:30:00,UAE201,Pilot Acknowledgment,"Switching to ground control on 121.9, UAE201.",20000,408,102,"('40.6413° N', '-73.7781° W')"
11:30:30,UAE201,Pilot Acknowledgment,"Climbing to FL300, UAE201.",30000,443,127,"('34.0837° N', '74.7973° E')"
11:31:00,UAE201,ATC Instruction,Descend to 20000 feet and prepare for approach.,20000,446,0,"('34.0837° N', '74.7973° E')"
11:31:30,UAE201,ATC Instruction,Cross runway 09L and continue taxi to terminal.,10000,482,133,"('26.0765° N', '56.2406° E')"
11:32:00,UAE201,Pilot Report,"Runway vacated, taxiing to gate.",35000,412,22,"('25.2532° N', '55.3657° E')"
11:32:30,UAE201,Pilot Acknowledgment,"Descending to 30000 feet, UAE201.",30000,490,183,"('25.2532° N', '55.3657° E')"
11:33:00,UAE201,Pilot Acknowledgment,"Crossing runway 09L, continuing to terminal, UAE201.",25000,445,206,"('34.0837° N', '74.7973° E')"
11:33:30,UAE201,Pilot Acknowledgment,"Taxiing to gate via taxiway Bravo, UAE201.",15000,412,75,"('34.0837° N', '74.7973° E')"
11:34:00,UAE201,Pilot Acknowledgment,"Climbing to FL50, UAE201.",5000,463,22,"('34.0837° N', '74.7973° E')"
11:34:30,UAE201,Pilot Acknowledgment,"Switching to 124.7, UAE201.",35000,474,336,"('40.6413° N', '-73.7781° W')"
11:35:00,UAE201,ATC Instruction,Cross runway 09L and continue taxi to terminal.,5000,438,218,"('26.0765° N', '56.2406° E')"
11:35:30,UAE201,ATC Instruction,Proceed direct to waypoint ALPHA.,15000,478,190,"('26.0765° N', '56.2406° E')"
11:36:00,UAE201,Pilot Report,Engine 2 showing abnormal vibrations.,15000,484,231,"('40.6413° N', '-73.7781° W')"
11:36:30,UAE201,Pilot Report,"Runway vacated, taxiing to gate.",15000,460,77,"('34.0837° N', '74.7973° E')"
11:37:00,UAE201,Pilot Acknowledgment,"Climb and maintain 20000 feet, UAE201.",20000,406,297,"('28.7041° N', '77.1025° E')"
11:37:30,UAE201,ATC Instruction,Maintain present speed.,10000,403,308,"('40.6413° N', '-73.7781° W')"
11:38:00,UAE201,Pilot Acknowledgment,"Crossing runway 09L, continuing to terminal, UAE201.",15000,421,14,"('25.2532° N', '55.3657° E')"
11:38:30,UAE201,Pilot Report,Engine 2 showing abnormal vibrations.,10000,411,167,"('34.0837° N', '74.7973° E')"
11:39:00,UAE201,Pilot Acknowledgment,"Climb and maintain 30000 feet, UAE201.",30000,491,67,"('34.0837° N', '74.7973° E')"
11:39:30,UAE201,ATC Instruction,Proceed to final approach and maintain 25000 feet.,25000,429,94,"('25.2532° N', '55.3657° E')"
11:40:00,UAE201,ATC Instruction,Switch to ground control on 121.9.,30000,405,138,"('25.2532° N', '55.3657° E')"
11:40:30,UAE201,Pilot Acknowledgment,"Holding short of runway 12R, UAE201.",10000,474,197,"('34.0837° N', '74.7973° E')"
11:41:00,UAE201,Pilot Report,Requesting vectors for weather avoidance.,10000,482,87,"('25.2532° N', '55.3657° E')"
11:41:30,UAE201,Pilot Acknowledgment,"Taxiing to gate via taxiway Bravo, UAE201.",35000,424,206,"('26.0765° N', '56.2406° E')"
11:42:00,UAE201,ATC Instruction,"Turn left heading 126, vectors for traffic.",20000,479,126,"('40.6413° N', '-73.7781° W')"
11:42:30,UAE201,Pilot Acknowledgment,"Switching to 124.7, UAE201.",30000,455,98,"('28.7041° N', '77.1025° E')"
11:43:00,UAE201,Pilot Report,Requesting vectors for weather avoidance.,10000,427,111,"('26.0765° N', '56.2406° E')"
11:43:30,UAE201,ATC Instruction,Cleared for takeoff runway 09L.,5000,401,339,"('34.0837° N', '74.7973° E')"
11:44:00,UAE201,Pilot Report,"Passing FL100, climbing to FL350.",10000,500,290,"('28.7041° N', '77.1025° E')"
11:44:30,UAE201,Pilot Report,Engine 2 showing abnormal vibrations.,30000,476,80,"('28.7041° N', '77.1025° E')"
11:45:00,UAE201,Pilot Report,"Runway vacated, taxiing to gate.",20000,417,128,"('28.7041° N', '77.1025° E')"
11:45:30,UAE201,Pilot Acknowledgment,"Switching to ground control on 121.9, UAE201.",15000,492,247,"('40.6413° N', '-73.7781° W')"
11:46:00,UAE201,Pilot Report,"Cleared turbulence, resuming normal speed.",30000,403,58,"('25.2532° N', '55.3657° E')"
11:46:30,UAE201,ATC Instruction,Descend to 35000 feet and prepare for approach.,35000,490,336,"('26.0765° N', '56.2406° E')"
11:47:00,UAE201,Pilot Report,"Cleared turbulence, resuming normal speed.",25000,444,213,"('34.0837° N', '74.7973° E')"
11:47:30,UAE201,ATC Instruction,Climb to FL100 and maintain.,10000,407,241,"('25.2532° N', '55.3657° E')"
11:48:00,UAE201,Pilot Report,Requesting vectors for weather avoidance.,15000,434,266,"('25.2532° N', '55.3657° E')"
11:48:30,UAE201,ATC Instruction,Contact departure on 124.7.,30000,464,223,"('25.2532° N', '55.3657° E')"
11:49:00,UAE201,Pilot Acknowledgment,"Holding short of runway 12R, UAE201.",5000,411,146,"('26.0765° N', '56.2406° E')"
11:49:30,UAE201,Pilot Acknowledgment,"Turning left heading 195, UAE201.",10000,443,195,"('34.0837° N', '74.7973° E')"
11:50:00,UAE201,Pilot Acknowledgment,"Switching to ground control on 121.9, UAE201.",20000,493,201,"('26.0765° N', '56.2406° E')"
11:50:30,UAE201,Pilot Report,"Cleared turbulence, resuming normal speed.",5000,468,189,"('34.0837° N', '74.7973° E')"
11:51:00,UAE201,Pilot Report,"Cleared turbulence, resuming normal speed.",10000,429,229,"('34.0837° N', '74.7973° E')"
11:51:30,UAE201,ATC Instruction,Proceed direct to waypoint ALPHA.,30000,427,291,"('28.7041° N', '77.1025° E')"
11:52:00,UAE201,Pilot Acknowledgment,"Proceeding to final approach, maintaining 30000 feet, UAE201.",30000,493,151,"('28.7041° N', '77.1025° E')"
11:52:30,UAE201,Pilot Acknowledgment,"Switching to 124.7, UAE201.",5000,410,341,"('40.6413° N', '-73.7781° W')"
11:53:00,UAE201,Pilot Report,Requesting vectors for weather avoidance.,20000,495,348,"('34.0837° N', '74.7973° E')"
11:53:30,UAE201,ATC Instruction,Proceed direct to waypoint ALPHA.,35000,483,87,"('25.2532° N', '55.3657° E')"
11:54:00,UAE201,ATC Instruction,Cleared for takeoff runway 09L.,35000,443,192,"('26.0765° N', '56.2406° E')"
11:54:30,UAE201,ATC Instruction,Descend to 10000 feet and prepare for approach.,10000,430,205,"('40.6413° N', '-73.7781° W')"
11:55:00,UAE201,Pilot Report,Engine 2 showing abnormal vibrations.,20000,472,239,"('34.0837° N', '74.7973° E')"
11:55:30,UAE201,Pilot Acknowledgment,"Crossing runway 09L, continuing to terminal, UAE201.",5000,403,30,"('40.6413° N', '-73.7781° W')"
11:56:00,UAE201,Pilot Acknowledgment,"Turning left heading 45, UAE201.",10000,489,45,"('28.7041° N', '77.1025° E')"
11:56:30,UAE201,ATC Instruction,Taxi to gate via taxiway Bravo.,10000,411,144,"('40.6413° N', '-73.7781° W')"
11:57:00,UAE201,ATC Instruction,Request speed reduction due to traffic ahead.,20000,476,253,"('26.0765° N', '56.2406° E')"
11:57:30,UAE201,Pilot Acknowledgment,"Climb and maintain 25000 feet, UAE201.",25000,443,131,"('28.7041° N', '77.1025° E')"
11:58:00,UAE201,Pilot Acknowledgment,"Turning left heading 200, UAE201.",10000,445,200,"('28.7041° N', '77.1025° E')"
